UniProt_Accession_for_Protein_Group	UniProt_ID_for_Protein_Group	UniProt_Protein_Description	Quantified_Peptides_Experiment_1	Quantified_Peptides_Experiment_1.1	Quantified_PSMs_(Rep_1)_Experiment_1	Quantified_PSMs_(Rep_1)_Experiment_1.1	126	127N	127C	128N	128C	129N	129C	130N	130C	131	126.1	127N.1	127C.1	128N.1	128C.1	129N.1	129C.1	130N.1	130C.1	131.1	phenoDisco_Input	phenoDisco_Output	Curated_phenoDisco_Output	SVM_marker_set	SVM_classification	SVM_score	SVM_classification_(top_quartile)	Final_Localization_Assignment	First_localization_evidence?	Curated_Organelles	Cytoskeletal_Components	Trafficking_Proteins	Protein_Complexes	Signaling_Cascades	Oct4_Interactome	Nanog_Interactome	Sox2_Interactome	Cell_Surface_Proteins	uniprot_id	isoforms	max_fraction	min_difference	mean_expression	length	classified	low_fraction	AS	temp_binary
Q8R143	PTTG_MOUSE	Pituitary tumor-transforming gene 1 protein-interacting protein OS=Mus musculus GN=Pttg1ip PE=1 SV=1 - [PTTG_MOUSE]	4	3	8	6	0.001	0.049	0.075	0.128	0.285	0.227	0.074	0.093	0.003	0.065	0.005	0.091	0.125	0.122	0.349	0.17	0.09	0.023	0.013	0.012	unknown	unknown	unknown	unknown	Lysosome	0.38	unclassified	unclassified	N										Q8R143	1	1.0		31.1461214515	174	False	False	False	False
Q91WE4	CR032_MOUSE	UPF0729 protein C18orf32 homolog OS=Mus musculus PE=2 SV=1 - [CR032_MOUSE]	4	3	8	10	0.0	0.043	0.046	0.045	0.138	0.224	0.144	0.191	0.017	0.152	0.002	0.067	0.091	0.1	0.196	0.21	0.188	0.1	0.019	0.027	unknown	Endoplasmic reticulum/Golgi apparatus	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.953	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Y										Q91WE4	1	1.0		44.668159191	72	True	False	False	False
Q99J27	ACATN_MOUSE	Acetyl-coenzyme A transporter 1 OS=Mus musculus GN=Slc33a1 PE=1 SV=1 - [ACATN_MOUSE]	4	6	8	9	0.0	0.099	0.083	0.042	0.107	0.257	0.146	0.124	0.013	0.128	0.0	0.059	0.094	0.138	0.168	0.253	0.123	0.11	0.026	0.028	unknown	Endoplasmic reticulum/Golgi apparatus	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.939	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N									High Confidence	Q99J27	1	1.0		6.9542317485	550	True	False	False	False
Q99N92	RM27_MOUSE	39S ribosomal protein L27, mitochondrial OS=Mus musculus GN=Mrpl27 PE=2 SV=1 - [RM27_MOUSE]	4	2	8	2	0.011	0.02	0.018	0.014	0.028	0.093	0.253	0.27	0.068	0.225	0.004	0.011	0.013	0.018	0.027	0.076	0.382	0.274	0.06	0.135	unknown	Mitochondrion	unknown	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										Q99N92	1	1.0		40.97143041	148	True	False	False	False
Q9CPQ8	ATP5L_MOUSE	ATP synthase subunit g, mitochondrial OS=Mus musculus GN=Atp5l PE=1 SV=1 - [ATP5L_MOUSE]	4	4	8	12	0.0	0.021	0.026	0.013	0.03	0.085	0.248	0.269	0.069	0.24	0.0	0.008	0.01	0.012	0.019	0.081	0.332	0.306	0.099	0.134	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N				ATP synthase						Q9CPQ8	1	1.0		14.347886421	103	True	False	False	False
Q9CR47	NSA2_MOUSE	Ribosome biogenesis protein NSA2 homolog OS=Mus musculus GN=Nsa2 PE=2 SV=1 - [NSA2_MOUSE]	4	4	8	6	0.235	0.01	0.03	0.002	0.026	0.035	0.042	0.075	0.371	0.174	0.168	0.02	0.026	0.022	0.037	0.035	0.046	0.029	0.335	0.283	unknown	Phenotype 2	Nucleus - Non-chromatin	Nucleus - Non-chromatin	Nucleus - Non-chromatin	1.0	Nucleus - Non-chromatin	Nucleus - Non-chromatin	N										Q9CR47	1	1.0		33.3260048935	260	True	False	False	False
O08602	RAE1A_MOUSE	Retinoic acid early-inducible protein 1-alpha OS=Mus musculus GN=Raet1a PE=1 SV=1 - [RAE1A_MOUSE]	4	5	7	12	0.005	0.363	0.241	0.114	0.12	0.069	0.035	0.021	0.015	0.017	0.0	0.188	0.186	0.199	0.185	0.151	0.063	0.017	0.013	0.0	unknown	unknown	unknown	unknown	Plasma membrane	0.809	unclassified	Plasma membrane	N										O08602	1	1.0		3.91834605775	253	True	False	False	False
O54879	HMGB3_MOUSE	High mobility group protein B3 OS=Mus musculus GN=Hmgb3 PE=2 SV=3 - [HMGB3_MOUSE]	4	4	7	5	0.051	0.011	0.008	0.002	0.01	0.032	0.084	0.33	0.169	0.304	0.075	0.015	0.024	0.018	0.018	0.047	0.122	0.252	0.351	0.079	unknown	Phenotype 1	Nucleus - Chromatin	Nucleus - Chromatin	Nucleus - Chromatin	1.0	Nucleus - Chromatin	Nucleus - Chromatin	N										O54879	1	1.0		4.48307477075	200	True	False	False	False
O55022	PGRC1_MOUSE	Membrane-associated progesterone receptor component 1 OS=Mus musculus GN=Pgrmc1 PE=1 SV=4 - [PGRC1_MOUSE]	4	4	7	9	0.0	0.073	0.07	0.059	0.187	0.151	0.081	0.206	0.013	0.161	0.004	0.08	0.105	0.141	0.222	0.185	0.144	0.074	0.02	0.025	unknown	Phenotype 8	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.81	unclassified	Endoplasmic reticulum/Golgi apparatus	N									High Confidence	O55022	1	1.0		67.849120075	195	True	False	False	False
O70325-2	GPX41_MOUSE	Isoform Cytoplasmic of Phospholipid hydroperoxide glutathione peroxidase, mitochondrial OS=Mus musculus GN=Gpx4 - [GPX41_MOUSE]	4	7	7	9	0.135	0.101	0.072	0.043	0.092	0.078	0.107	0.167	0.041	0.164	0.13	0.098	0.086	0.09	0.113	0.089	0.101	0.072	0.101	0.12	unknown	unknown	unknown	unknown	60S Ribosome	0.321	unclassified	unclassified	N										O70325	2	0.962366297052	0.0391053833282	52.6718525007	197	False	False	False	False
P23591	FCL_MOUSE	GDP-L-fucose synthase OS=Mus musculus GN=Tsta3 PE=2 SV=3 - [FCL_MOUSE]	4	2	7	5	0.561	0.102	0.12	0.047	0.064	0.048	0.023	0.021	0.0	0.013	0.47	0.112	0.141	0.076	0.095	0.068	0.01	0.014	0.004	0.01	unknown	Phenotype 5	unknown	unknown	Cytosol	0.813	unclassified	Cytosol	Y										P23591	1	1.0		34.3095791265	321	True	False	False	False
P51174	ACADL_MOUSE	Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadl PE=2 SV=2 - [ACADL_MOUSE]	4	11	7	16	0.018	0.024	0.028	0.006	0.043	0.094	0.183	0.324	0.014	0.265	0.003	0.012	0.018	0.023	0.033	0.101	0.398	0.247	0.029	0.136	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										P51174	1	1.0		5.541679469	430	True	False	False	False
P56395	CYB5_MOUSE	Cytochrome b5 OS=Mus musculus GN=Cyb5a PE=1 SV=2 - [CYB5_MOUSE]	4	2	7	10	0.001	0.081	0.074	0.051	0.149	0.196	0.09	0.183	0.009	0.165	0.002	0.084	0.091	0.128	0.211	0.188	0.162	0.085	0.017	0.031	unknown	Endoplasmic reticulum/Golgi apparatus	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.909	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N										P56395	1	1.0		118.075647135	134	True	False	False	False
P97821	CATC_MOUSE	Dipeptidyl peptidase 1 OS=Mus musculus GN=Ctsc PE=2 SV=1 - [CATC_MOUSE]	4	4	7	6	0.0	0.06	0.133	0.148	0.336	0.21	0.047	0.037	0.0	0.03	0.003	0.065	0.181	0.214	0.253	0.192	0.056	0.028	0.003	0.006	unknown	unknown	unknown	unknown	Lysosome	0.825	Lysosome	Lysosome	N										P97821	1	1.0		3.02071890475	462	True	False	False	False
Q3TFQ1	SPRY7_MOUSE	SPRY domain-containing protein 7 OS=Mus musculus GN=Spryd7 PE=2 SV=2 - [SPRY7_MOUSE]	4	5	7	8	0.004	0.121	0.186	0.146	0.265	0.174	0.051	0.028	0.009	0.017	0.004	0.045	0.099	0.233	0.271	0.224	0.08	0.029	0.009	0.007	unknown	Phenotype 3	unknown	unknown	Lysosome	0.648	unclassified	unclassified	Y										Q3TFQ1	1	1.0		10.941853808	196	False	False	False	False
Q61239	FNTA_MOUSE	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha OS=Mus musculus GN=Fnta PE=1 SV=1 - [FNTA_MOUSE]	4	6	7	9	0.573	0.165	0.076	0.063	0.06	0.048	0.015	0.0	0.0	0.0	0.404	0.105	0.146	0.12	0.1	0.067	0.029	0.01	0.006	0.015	unknown	Phenotype 5	unknown	unknown	Cytosol	0.825	Cytosol	Cytosol	N										Q61239	1	1.0		39.790595999	377	True	False	False	False
Q61249	IGBP1_MOUSE	Immunoglobulin-binding protein 1 OS=Mus musculus GN=Igbp1 PE=1 SV=1 - [IGBP1_MOUSE]	4	6	7	7	0.415	0.122	0.108	0.054	0.092	0.046	0.03	0.034	0.029	0.069	0.389	0.088	0.117	0.093	0.112	0.066	0.035	0.022	0.036	0.042	unknown	unknown	unknown	unknown	Cytosol	0.784	unclassified	Cytosol	Y										Q61249	1	1.0		57.671663519	340	True	False	False	False
Q64337	SQSTM_MOUSE	Sequestosome-1 OS=Mus musculus GN=Sqstm1 PE=1 SV=1 - [SQSTM_MOUSE]	4	4	7	6	0.084	0.383	0.181	0.086	0.08	0.072	0.026	0.038	0.024	0.025	0.098	0.173	0.181	0.171	0.127	0.102	0.056	0.042	0.023	0.026	unknown	unknown	unknown	unknown	Actin cytoskeleton	0.394	unclassified	unclassified	N										Q64337	1	1.0		71.7065105235	442	False	False	False	False
Q6P1F6	2ABA_MOUSE	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform OS=Mus musculus GN=Ppp2r2a PE=1 SV=1 - [2ABA_MOUSE]	4	5	7	9	0.398	0.158	0.119	0.058	0.107	0.043	0.025	0.065	0.007	0.021	0.359	0.12	0.128	0.107	0.104	0.077	0.045	0.02	0.014	0.027	unknown	unknown	unknown	unknown	Cytosol	0.809	unclassified	Cytosol	Y										Q6P1F6	1	0.99999999835		23.052717351	447	True	False	False	False
Q80XU3	NUCKS_MOUSE	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 OS=Mus musculus GN=Nucks1 PE=1 SV=1 - [NUCKS_MOUSE]	4	3	7	8	0.796	0.005	0.057	0.0	0.009	0.008	0.012	0.036	0.057	0.022	0.744	0.024	0.07	0.018	0.025	0.017	0.019	0.019	0.051	0.012	unknown	Phenotype 6	unknown	unknown	Proteasome	0.147	unclassified	unclassified	N										Q80XU3	2	0.64908893765	0.540620925724	52.238829012	234	False	True	True	False
Q80ZV0	RNH2B_MOUSE	Ribonuclease H2 subunit B OS=Mus musculus GN=Rnaseh2b PE=1 SV=2 - [RNH2B_MOUSE]	4	6	7	6	0.283	0.029	0.035	0.011	0.012	0.025	0.043	0.257	0.078	0.228	0.31	0.029	0.05	0.034	0.033	0.042	0.057	0.098	0.236	0.111	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.2	unclassified	unclassified	N										Q80ZV0	1	1.0		44.2289087035	308	False	False	False	False
Q8QZY6	TSN14_MOUSE	Tetraspanin-14 OS=Mus musculus GN=Tspan14 PE=1 SV=1 - [TSN14_MOUSE]	4	5	7	5	0.0	0.201	0.198	0.134	0.2	0.125	0.066	0.043	0.0	0.034	0.002	0.131	0.153	0.184	0.181	0.188	0.104	0.041	0.009	0.007	unknown	Plasma membrane	unknown	unknown	Plasma membrane	0.716	unclassified	Plasma membrane	Y										Q8QZY6	1	1.0		25.598355075	270	True	False	False	False
Q91V12-2	BACH_MOUSE	Isoform A of Cytosolic acyl coenzyme A thioester hydrolase OS=Mus musculus GN=Acot7 - [BACH_MOUSE]	4	7	7	10	0.432	0.11	0.113	0.04	0.039	0.036	0.053	0.108	0.0	0.067	0.364	0.075	0.081	0.084	0.064	0.064	0.109	0.087	0.023	0.048	unknown	unknown	unknown	unknown	Proteasome	0.36	unclassified	unclassified	N										Q91V12	3	0.552458699476	0.72522981132	28.648434945	381	False	True	True	False
Q91YD9	WASL_MOUSE	Neural Wiskott-Aldrich syndrome protein OS=Mus musculus GN=Wasl PE=1 SV=1 - [WASL_MOUSE]	4	4	7	4	0.172	0.218	0.14	0.087	0.099	0.061	0.058	0.054	0.014	0.096	0.181	0.126	0.123	0.123	0.1	0.086	0.062	0.031	0.066	0.102	unknown	unknown	unknown	unknown	Cytosol	0.21	unclassified	unclassified	N		Actin cap modulators								Q91YD9	2	0.974033475357	0.0266587599916	11.9828487745	501	False	False	False	False
Q920L1	FADS1_MOUSE	Fatty acid desaturase 1 OS=Mus musculus GN=Fads1 PE=2 SV=1 - [FADS1_MOUSE]	4	4	7	5	0.0	0.02	0.038	0.04	0.12	0.257	0.145	0.183	0.027	0.171	0.001	0.048	0.087	0.139	0.172	0.27	0.131	0.106	0.024	0.022	unknown	Endoplasmic reticulum/Golgi apparatus	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.945	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N										Q920L1	1	1.0		19.895795089	447	True	False	False	False
Q921H8	THIKA_MOUSE	3-ketoacyl-CoA thiolase A, peroxisomal OS=Mus musculus GN=Acaa1a PE=2 SV=1 - [THIKA_MOUSE]	4	5	7	8	0.001	0.011	0.016	0.009	0.025	0.092	0.173	0.363	0.013	0.297	0.008	0.026	0.038	0.045	0.058	0.149	0.227	0.219	0.034	0.194	unknown	Mitochondrion	unknown	unknown	Peroxisome	0.75	Peroxisome	Peroxisome	N										Q921H8	1	1.0		21.4608150943	424	True	False	False	False
Q921W0	CHM1A_MOUSE	Charged multivesicular body protein 1a OS=Mus musculus GN=Chmp1a PE=1 SV=1 - [CHM1A_MOUSE]	4	4	7	4	0.104	0.104	0.095	0.06	0.127	0.086	0.059	0.139	0.081	0.145	0.08	0.108	0.098	0.108	0.17	0.093	0.096	0.06	0.11	0.079	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.252	unclassified	unclassified	N										Q921W0	1	1.0		37.5732113465	196	False	False	False	False
Q9CPT5	NOP16_MOUSE	Nucleolar protein 16 OS=Mus musculus GN=Nop16 PE=2 SV=1 - [NOP16_MOUSE]	4	4	7	9	0.203	0.02	0.03	0.0	0.018	0.041	0.039	0.07	0.347	0.232	0.119	0.013	0.027	0.025	0.032	0.049	0.041	0.035	0.241	0.418	unknown	Phenotype 2	Nucleus - Non-chromatin	Nucleus - Non-chromatin	Nucleus - Non-chromatin	1.0	Nucleus - Non-chromatin	Nucleus - Non-chromatin	N										Q9CPT5	1	1.0		20.089370507	178	True	False	False	False
Q9CQ10	CHMP3_MOUSE	Charged multivesicular body protein 3 OS=Mus musculus GN=Chmp3 PE=1 SV=3 - [CHMP3_MOUSE]	4	3	7	7	0.163	0.261	0.153	0.094	0.107	0.055	0.034	0.055	0.049	0.029	0.171	0.14	0.16	0.139	0.137	0.102	0.054	0.024	0.049	0.023	unknown	unknown	unknown	unknown	Actin cytoskeleton	0.538	Actin cytoskeleton	Actin cytoskeleton	N										Q9CQ10	1	1.0		37.93409097	224	True	False	False	False
Q9CQ54	NDUC2_MOUSE	NADH dehydrogenase [ubiquinone] 1 subunit C2 OS=Mus musculus GN=Ndufc2 PE=1 SV=1 - [NDUC2_MOUSE]	4	2	7	2	0.002	0.017	0.021	0.013	0.035	0.074	0.179	0.283	0.092	0.283	0.005	0.014	0.011	0.016	0.033	0.06	0.426	0.198	0.096	0.14	unknown	Mitochondrion	unknown	unknown	Mitochondrion	0.969	unclassified	Mitochondrion	N				NADH dehydrogenase						Q9CQ54	1	1.0		86.658577533	120	True	False	False	False
Q9CWW6	PIN4_MOUSE	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 OS=Mus musculus GN=Pin4 PE=2 SV=1 - [PIN4_MOUSE]	4	5	7	7	0.129	0.054	0.056	0.03	0.056	0.072	0.064	0.201	0.126	0.211	0.113	0.051	0.068	0.048	0.063	0.091	0.09	0.102	0.202	0.172	unknown	unknown	unknown	unknown	60S Ribosome	0.392	unclassified	unclassified	N										Q9CWW6	1	1.0		2.10144147775	131	False	False	False	False
Q9D0J8	PTMS_MOUSE	Parathymosin OS=Mus musculus GN=Ptms PE=2 SV=3 - [PTMS_MOUSE]	4	3	7	3	0.763	0.048	0.094	0.025	0.035	0.022	0.006	0.005	0.0	0.002	0.706	0.055	0.092	0.047	0.048	0.025	0.015	0.004	0.006	0.002	unknown	Phenotype 6	unknown	unknown	Proteasome	0.394	unclassified	unclassified	Y										Q9D0J8	1	1.0		33.689494509	101	False	False	False	False
Q9D1L9	LTOR5_MOUSE	Ragulator complex protein LAMTOR5 OS=Mus musculus GN=Lamtor5 PE=2 SV=1 - [LTOR5_MOUSE]	4	2	7	5	0.005	0.103	0.222	0.136	0.288	0.147	0.032	0.033	0.006	0.026	0.002	0.104	0.152	0.174	0.257	0.187	0.082	0.028	0.011	0.003	unknown	unknown	unknown	unknown	Lysosome	0.685	unclassified	unclassified	N				LAMTOR proteins						Q9D1L9	1	1.0		41.440311347	91	False	False	False	False
Q9DB25	ALG5_MOUSE	Dolichyl-phosphate beta-glucosyltransferase OS=Mus musculus GN=Alg5 PE=2 SV=1 - [ALG5_MOUSE]	4	5	7	7	0.0	0.081	0.118	0.064	0.163	0.185	0.105	0.148	0.007	0.13	0.006	0.077	0.077	0.146	0.216	0.2	0.158	0.077	0.014	0.029	unknown	Endoplasmic reticulum/Golgi apparatus	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.423	unclassified	unclassified	N										Q9DB25	1	1.0		12.9953270255	324	False	False	False	False
Q9DB34	CHM2A_MOUSE	Charged multivesicular body protein 2a OS=Mus musculus GN=Chmp2a PE=1 SV=1 - [CHM2A_MOUSE]	4	7	7	9	0.1	0.145	0.112	0.077	0.105	0.07	0.057	0.136	0.07	0.128	0.117	0.094	0.113	0.12	0.126	0.086	0.062	0.072	0.119	0.092	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.158	unclassified	unclassified	N										Q9DB34	1	1.0		33.751671225	222	False	False	False	False
Q9EPS3	GLCE_MOUSE	D-glucuronyl C5-epimerase OS=Mus musculus GN=Glce PE=1 SV=2 - [GLCE_MOUSE]	4	7	7	8	0.007	0.035	0.076	0.057	0.118	0.248	0.12	0.132	0.055	0.151	0.005	0.033	0.056	0.107	0.184	0.281	0.16	0.101	0.046	0.027	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.932	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N										Q9EPS3	1	1.0		16.9249538695	618	True	False	False	False
Q9JM76	ARPC3_MOUSE	Actin-related protein 2/3 complex subunit 3 OS=Mus musculus GN=Arpc3 PE=1 SV=3 - [ARPC3_MOUSE]	4	1	7	5	0.094	0.21	0.098	0.069	0.085	0.126	0.101	0.068	0.071	0.078	0.095	0.089	0.117	0.077	0.123	0.084	0.062	0.038	0.167	0.147	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.136	unclassified	unclassified	N		Arp2/3 complex		Arp2/3 complex						Q9JM76	1	1.0		125.67574381	178	False	False	False	False
Q9R0P9	UCHL1_MOUSE	Ubiquitin carboxyl-terminal hydrolase isozyme L1 OS=Mus musculus GN=Uchl1 PE=1 SV=1 - [UCHL1_MOUSE]	4	5	7	5	0.564	0.102	0.111	0.053	0.072	0.037	0.016	0.02	0.007	0.018	0.45	0.107	0.109	0.094	0.116	0.058	0.033	0.008	0.012	0.014	unknown	Phenotype 5	unknown	unknown	Cytosol	0.82	unclassified	Cytosol	N										Q9R0P9	1	1.0		90.724460665	223	True	False	False	False
Q9Z266	SNAPN_MOUSE	SNARE-associated protein Snapin OS=Mus musculus GN=Snapin PE=1 SV=1 - [SNAPN_MOUSE]	4	4	7	7	0.028	0.066	0.178	0.188	0.309	0.097	0.034	0.052	0.009	0.039	0.03	0.085	0.11	0.19	0.317	0.135	0.074	0.023	0.012	0.023	unknown	unknown	unknown	unknown	Lysosome	0.657	unclassified	unclassified	N				BLOC-1 complex						Q9Z266	1	1.0		12.683098761	136	False	False	False	False
Q9Z2Q5	RM40_MOUSE	39S ribosomal protein L40, mitochondrial OS=Mus musculus GN=Mrpl40 PE=2 SV=2 - [RM40_MOUSE]	4	4	7	6	0.0	0.013	0.015	0.012	0.032	0.09	0.209	0.309	0.054	0.265	0.004	0.011	0.014	0.019	0.03	0.079	0.4	0.245	0.063	0.135	unknown	Mitochondrion	unknown	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										Q9Z2Q5	1	1.0		66.6890252435	206	True	False	False	False
A2AR02	PPIG_MOUSE	Peptidyl-prolyl cis-trans isomerase G OS=Mus musculus GN=Ppig PE=1 SV=1 - [PPIG_MOUSE]	4	7	6	9	0.238	0.016	0.035	0.012	0.039	0.038	0.046	0.086	0.334	0.155	0.153	0.02	0.035	0.026	0.036	0.039	0.046	0.029	0.354	0.262	unknown	Phenotype 2	unknown	unknown	Nucleus - Non-chromatin	0.926	Nucleus - Non-chromatin	Nucleus - Non-chromatin	N										A2AR02	1	1.0		11.9105454093	752	True	False	False	False
O35075	DSCR3_MOUSE	Down syndrome critical region protein 3 homolog OS=Mus musculus GN=Dscr3 PE=2 SV=1 - [DSCR3_MOUSE]	4	4	6	8	0.035	0.1	0.15	0.105	0.274	0.145	0.057	0.052	0.027	0.054	0.028	0.052	0.072	0.156	0.277	0.196	0.062	0.03	0.027	0.099	unknown	unknown	unknown	unknown	Endosome	0.397	unclassified	unclassified	N										O35075	1	1.0		16.5625799455	297	False	False	False	False
O35343	IMA4_MOUSE	Importin subunit alpha-4 OS=Mus musculus GN=Kpna4 PE=2 SV=1 - [IMA4_MOUSE]	4	4	6	11	0.474	0.04	0.062	0.014	0.04	0.049	0.034	0.05	0.178	0.06	0.412	0.064	0.109	0.076	0.055	0.057	0.029	0.028	0.132	0.037	unknown	unknown	unknown	unknown	Proteasome	0.32	unclassified	unclassified	N			Importin	Importin						O35343	1	1.0		50.4628797815	521	False	False	False	False
O88396	GRPE2_MOUSE	GrpE protein homolog 2, mitochondrial OS=Mus musculus GN=Grpel2 PE=2 SV=2 - [GRPE2_MOUSE]	4	5	6	10	0.0	0.018	0.025	0.012	0.034	0.099	0.265	0.266	0.019	0.261	0.002	0.012	0.015	0.02	0.029	0.084	0.37	0.308	0.02	0.14	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										O88396	1	1.0		10.3465162765	224	True	False	False	False
P35285	RB22A_MOUSE	Ras-related protein Rab-22A OS=Mus musculus GN=Rab22a PE=1 SV=2 - [RB22A_MOUSE]	4	4	6	5	0.0	0.12	0.188	0.14	0.316	0.113	0.043	0.041	0.0	0.039	0.006	0.089	0.101	0.206	0.289	0.168	0.076	0.032	0.021	0.012	unknown	unknown	unknown	unknown	Lysosome	0.683	unclassified	unclassified	N			Rab proteins	Rab proteins						P35285	1	1.0		12.6102554535	194	False	False	False	False
P48428	TBCA_MOUSE	Tubulin-specific chaperone A OS=Mus musculus GN=Tbca PE=2 SV=3 - [TBCA_MOUSE]	4	5	6	5	0.581	0.102	0.097	0.062	0.08	0.035	0.005	0.017	0.005	0.015	0.482	0.1	0.106	0.104	0.088	0.06	0.032	0.012	0.008	0.008	unknown	Phenotype 5	unknown	unknown	Cytosol	0.831	Cytosol	Cytosol	N		Tubulins								P48428	1	1.0		124.804432205	108	True	False	False	False
P48972	MYBB_MOUSE	Myb-related protein B OS=Mus musculus GN=Mybl2 PE=1 SV=1 - [MYBB_MOUSE]	4	2	6	3	0.038	0.009	0.013	0.006	0.014	0.032	0.108	0.281	0.221	0.278	0.055	0.015	0.023	0.018	0.02	0.049	0.103	0.207	0.369	0.139	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.922	Nucleus - Chromatin	Nucleus - Chromatin	N										P48972	1	1.0		107.37655786	704	True	False	False	False
P60867	RS20_MOUSE	40S ribosomal protein S20 OS=Mus musculus GN=Rps20 PE=1 SV=1 - [RS20_MOUSE]	4	5	6	13	0.288	0.079	0.09	0.035	0.059	0.098	0.09	0.069	0.054	0.138	0.23	0.051	0.062	0.049	0.051	0.074	0.059	0.04	0.059	0.325	40S Ribosome	40S Ribosome	40S Ribosome	40S Ribosome	40S Ribosome	1.0	40S Ribosome	40S Ribosome	N										P60867	1	1.0		633.9500202	119	True	False	False	False
P61804	DAD1_MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 OS=Mus musculus GN=Dad1 PE=2 SV=3 - [DAD1_MOUSE]	4	3	6	3	0.0	0.056	0.085	0.053	0.146	0.16	0.098	0.215	0.02	0.168	0.004	0.065	0.074	0.103	0.171	0.175	0.215	0.094	0.061	0.036	unknown	Phenotype 8	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	1.0	Endoplasmic reticulum/Golgi apparatus	Endoplasmic reticulum/Golgi apparatus	N				Oligosacchyltransferase complex (OST)						P61804	2	0.99377372088	0.00626528855505	69.540377274	113	True	False	False	False
P62077	TIM8B_MOUSE	Mitochondrial import inner membrane translocase subunit Tim8 B OS=Mus musculus GN=Timm8b PE=3 SV=1 - [TIM8B_MOUSE]	4	3	6	5	0.025	0.025	0.023	0.014	0.031	0.089	0.164	0.332	0.071	0.225	0.013	0.016	0.018	0.017	0.029	0.083	0.386	0.23	0.101	0.106	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	1.0	Mitochondrion	Mitochondrion	N										P62077	1	1.0		60.4124221195	83	True	False	False	False
P62320	SMD3_MOUSE	Small nuclear ribonucleoprotein Sm D3 OS=Mus musculus GN=Snrpd3 PE=1 SV=1 - [SMD3_MOUSE]	4	3	6	4	0.291	0.01	0.034	0.004	0.014	0.014	0.028	0.07	0.398	0.136	0.163	0.024	0.032	0.022	0.027	0.022	0.037	0.024	0.322	0.327	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.917	Nucleus - Non-chromatin	Nucleus - Non-chromatin	N				Small nuclear ribonucleic particles (snRNP)						P62320	1	1.0		211.298335152	126	True	False	False	False
P63213	GBG2_MOUSE	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 OS=Mus musculus GN=Gng2 PE=1 SV=2 - [GBG2_MOUSE]	4	3	6	5	0.0	0.296	0.182	0.125	0.155	0.101	0.054	0.053	0.009	0.025	0.003	0.263	0.137	0.14	0.221	0.11	0.09	0.018	0.009	0.009	unknown	unknown	unknown	unknown	Plasma membrane	0.77	unclassified	Plasma membrane	N										P63213	2	0.799634113623	0.250571959055	6.09835467675	71	True	True	True	False
